"State","Date","Confirmed","Deaths"
"Delaware","2021-07-27",110943,1698
"District of Columbia","2021-07-27",50228,1147
"Florida","2021-07-27",2523510,38670
"Georgia","2021-07-27",1167405,21644
"Hawaii","2021-07-27",40984,529
"Idaho","2021-07-27",199158,2189
"Illinois","2021-07-27",1413490,25847
"Indiana","2021-07-27",767409,13980
"Iowa","2021-07-27",376673,6170
"Kansas","2021-07-27",329683,5371
"Kentucky","2021-07-27",477882,7323
"Louisiana","2021-07-27",527253,10934
"Maine","2021-07-27",70077,898
"Maryland","2021-07-27",466514,9810
"Massachusetts","2021-07-27",717284,18065
"Michigan","2021-07-27",1008429,21165
"Minnesota","2021-07-27",610839,7749
"Mississippi","2021-07-27",338079,7523
"Missouri","2021-07-27",673931,10043
"Montana","2021-07-27",115665,1699
"Nebraska","2021-07-27",226839,2284
"Nevada","2021-07-27",352567,5854
"New Hampshire","2021-07-27",100398,1386
"New Jersey","2021-07-27",1035027,26586
"New Mexico","2021-07-27",209356,4402
"New York","2021-07-27",2140258,53611
"North Carolina","2021-07-27",1038976,13590
"North Dakota","2021-07-27",111331,1569
"Ohio","2021-07-27",1123964,20659
"Oklahoma","2021-07-27",475578,7454
"Oregon","2021-07-27",216875,2843
"Pennsylvania","2021-07-27",1226157,27831
"Rhode Island","2021-07-27",153802,2739
"South Carolina","2021-07-27",611594,9883
"South Dakota","2021-07-27",124960,2043
"Tennessee","2021-07-27",886519,12703
"Texas","2021-07-27",3095920,53078
"Utah","2021-07-27",429300,2441
"Vermont","2021-07-27",24760,259
"Virginia","2021-07-27",691018,11515
"Washington","2021-07-27",470333,6097
"West Virginia","2021-07-27",166297,2936
"Wisconsin","2021-07-27",684119,8184
"Wyoming","2021-07-27",64623,776
"Alabama","2021-07-28",577463,11510
"Alaska","2021-07-28",74911,386
"Arizona","2021-07-28",921445,18185
"Arkansas","2021-07-28",379726,6099
"California","2021-07-28",3999752,64341
"Colorado","2021-07-28",572854,6924
"Connecticut","2021-07-28",353505,8288
"Delaware","2021-07-28",111016,1698
"District of Columbia","2021-07-28",50268,1148
"Florida","2021-07-28",2523510,38670
"Georgia","2021-07-28",1171233,21654
"Hawaii","2021-07-28",41069,532
"Idaho","2021-07-28",199516,2190
"Illinois","2021-07-28",1415572,25853
"Indiana","2021-07-28",768624,13993
"Iowa","2021-07-28",378831,6183
